展示最近9条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 9 ;
哪3个变量的高报和低报差值最大？	select t_rt_info.Tag_code from t_rt_info order by ( t_rt_info.Upper_limit - t_rt_info.Lower_limit ) desc limit 3 ;
哪7个变量的高报和低报差值最大？	select t_rt_info.Tag_code from t_rt_info order by ( t_rt_info.Upper_limit - t_rt_info.Lower_limit ) desc limit 7 ;
返回每个低低报警限小于6的变量。	select * from t_rt_info where t_rt_info.LLower_limit < 6 ;
返回每个低低报警限小于17的变量。	select * from t_rt_info where t_rt_info.LLower_limit < 17 ;
哪些变量的低低报警阈值不到3？	select * from t_rt_info where t_rt_info.LLower_limit < 3 ;
哪些变量的低低报警阈值不到5？	select * from t_rt_info where t_rt_info.LLower_limit < 5 ;
输出所有在装置二号连续重整中的，高报大于低报的变量。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Upper_limit > t_rt_info.Lower_limit ;
输出所有在装置二号连续重整装置中的，高报大于低报的变量。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Upper_limit > t_rt_info.Lower_limit ;
哪些位号的高报阈值超过了它的低报阈值？	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' and t_rt_info.Upper_limit > t_rt_info.Lower_limit ;
哪些位号的高报阈值超过了它的低报阈值？	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Upper_limit > t_rt_info.Lower_limit ;
输出所有高报超过7的变量。	select * from t_rt_info where t_rt_info.Upper_limit > 7 ;
输出所有高报超过8的变量。	select * from t_rt_info where t_rt_info.Upper_limit > 8 ;
告诉我每一个高报限大于5的位号。	select * from t_rt_info where t_rt_info.Upper_limit > 5 ;
告诉我每一个高报限大于8的位号。	select * from t_rt_info where t_rt_info.Upper_limit > 8 ;
哪些关键变量同时有高报和低报？	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Upper_limit is not null and t_rt_info.Lower_limit is not null ;
筛选又有高报限又有低报限的关键变量。	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Upper_limit is not null and t_rt_info.Lower_limit is not null ;
帮我看看哪几个关键报警位号只有低报，没有高报的。	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Lower_limit is not null and t_rt_info.Upper_limit is null ;
哪些关键变量有低报却没有高报？	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Lower_limit is not null and t_rt_info.Upper_limit is null ;
统计数据集中同时有低报警阈值、高报警阈值、低低报警阈值、高高报警阈值的位号的个数。	select * from t_rt_info where t_rt_info.Lower_limit is not null and t_rt_info.Upper_limit is not null and t_rt_info.LLower_limit is not null and t_rt_info.UUpper_limit is not null ;
有低报、高报、低低报、高高报阈值的变量总共在测点定义表中有多少个？	select * from t_rt_info where t_rt_info.Lower_limit is not null and t_rt_info.Upper_limit is not null and t_rt_info.LLower_limit is not null and t_rt_info.UUpper_limit is not null ;
把装置催化装置一中的关键变量按高报警阈值的降序排列。	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
把装置重整装置2中的关键变量按高报警阈值的降序排列。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
按照高报阈值从大到小的顺序排列1#催化裂化中所有的关键变量。	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
按照高报阈值从大到小的顺序排列连续重整中所有的关键变量。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
把装置二号催化裂化里的报警位号按低报数值降序排列。	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' order by t_rt_info.Lower_limit desc ;
把装置催化裂化装置二号里的报警位号按低报数值降序排列。	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' order by t_rt_info.Lower_limit desc ;
将催化装置2中的关键位号按低报限从大到肖的顺序返回给我。	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' order by t_rt_info.Lower_limit desc ;
将1#催化装置中的关键位号按低报限从大到肖的顺序返回给我。	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' order by t_rt_info.Lower_limit desc ;
哪套装置里有吸收塔补充吸收剂流量调节这个变量？	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_FIC403.PV' ;
哪套装置里有V304温度这个变量？	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_30801' ;
V206顶气流量属于哪个装置？	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FI_21603' ;
F102瓦斯流量属于哪个装置？	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FIC_11401' ;
请告诉我R201出口温度是哪个装置的位号。	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_20201' ;
请告诉我渣油进装置流量是哪个装置的位号。	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FI222_3.PV' ;
V301淘析气压力位于哪个装置？	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211PI_30502' ;
3.5MPa蒸汽至系统压力调节位于哪个装置？	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_PIC2823.PV' ;
T202塔釜液位是不是关键报警变量？	select t_rt_info.Key_tag from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211LIC_21701' ;
R101反应进料量是不是关键报警变量？	select t_rt_info.Key_tag from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FIC_10401' ;
V301淘析气压力是关键报警吗？	select t_rt_info.Key_tag from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211PI_30502' ;
分馏塔底搅拌蒸汽流量调节是关键报警吗？	select t_rt_info.Key_tag from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_FIC373.PV' ;
再生循环气流量的高报是多少？	select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FIC_30602' ;
吸收塔补充吸收剂流量调节的高报是多少？	select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_FIC403.PV' ;
油浆上返塔流量的高报警限是多少？	select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FC209_1.PV' ;
主风出口流量调节的高报警限是多少？	select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_FICA5101.PV' ;
R202入口温度的低低报警限是多少？	select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_20104' ;
烟机入口温度的低低报警限是多少？	select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_TIA5102.PV' ;
查询塔701乙醇胺流量控制的低低报阈值。	select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_FIC701A.PV' ;
查询V321与V322压差的低低报阈值。	select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211PDIC_30402' ;
将所有位号的名字按名字的降序排列并输出。	select t_rt_info.Tag_code from t_rt_info order by t_rt_info.Tag_code desc ;
把测点定义表中所有位号按名字降序返回。	select t_rt_info.Tag_code from t_rt_info order by t_rt_info.Tag_code desc ;
有哪些变量没有低低报警限、低报警限、高报警限、高高报警限，按他们的所属的装置归类排序。	select * from t_rt_info where t_rt_info.Lower_limit is null and t_rt_info.Upper_limit is null and t_rt_info.LLower_limit is null and t_rt_info.UUpper_limit is null order by t_rt_info.Unit_code ;
按不同的装置统计哪些变量低低报警限、低报警限、高报警限、高高报警限都没有。	select * from t_rt_info where t_rt_info.Lower_limit is null and t_rt_info.Upper_limit is null and t_rt_info.LLower_limit is null and t_rt_info.UUpper_limit is null order by t_rt_info.Unit_code ;
展示所有低报阈值小于1并且高报阈值大于2的关键报警。	select * from t_rt_info where t_rt_info.Lower_limit < 1 and t_rt_info.Upper_limit > 2 ;
展示所有低报阈值小于2并且高报阈值大于3的关键报警。	select * from t_rt_info where t_rt_info.Lower_limit < 2 and t_rt_info.Upper_limit > 3 ;
展示所有低报阈值小于5并且高报阈值大于7的关键报警。	select * from t_rt_info where t_rt_info.Lower_limit < 5 and t_rt_info.Upper_limit > 7 ;
展示所有低报阈值小于5并且高报阈值大于12的关键报警。	select * from t_rt_info where t_rt_info.Lower_limit < 5 and t_rt_info.Upper_limit > 12 ;
哪些关键变量的低报限小于11同时高报限大于14？	select * from t_rt_info where t_rt_info.Lower_limit < 11 and t_rt_info.Upper_limit > 14 ;
哪些关键变量的低报限小于9同时高报限大于14？	select * from t_rt_info where t_rt_info.Lower_limit < 9 and t_rt_info.Upper_limit > 14 ;
哪些关键变量的低报限小于2同时高报限大于15？	select * from t_rt_info where t_rt_info.Lower_limit < 2 and t_rt_info.Upper_limit > 15 ;
哪些关键变量的低报限小于13同时高报限大于14？	select * from t_rt_info where t_rt_info.Lower_limit < 13 and t_rt_info.Upper_limit > 14 ;
按高报阈值降序给装置重整里的关键报警变量排序。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
按高报阈值降序给装置催化裂化装置一里的关键报警变量排序。	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
查询重整装置2中的关键变量，按照高报限从大到小的顺序排列。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
查询连续重整二中的关键变量，按照高报限从大到小的顺序排列。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
哪些位号的高报阈值大于5？	select * from t_rt_info where t_rt_info.Upper_limit > 5 ;
哪些位号的高报阈值大于3？	select * from t_rt_info where t_rt_info.Upper_limit > 3 ;
查看所有高报阈值大于11的变量。	select * from t_rt_info where t_rt_info.Upper_limit > 11 ;
查看所有高报阈值大于8的变量。	select * from t_rt_info where t_rt_info.Upper_limit > 8 ;
输出没有低低报信息的所有关键报警。	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.LLower_limit is null ;
哪些关键变量没有低低报阈值？	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.LLower_limit is null ;
显示所有没有低低报和高高报数据的变量。	select * from t_rt_info where t_rt_info.LLower_limit is null and t_rt_info.UUpper_limit is null ;
查询没有低低报和高高报的位点。	select * from t_rt_info where t_rt_info.LLower_limit is null and t_rt_info.UUpper_limit is null ;
按装置名称统计高报数据缺失的位号。	select * from t_rt_info where t_rt_info.Upper_limit is null order by t_rt_info.Unit_code ;
按不同的装置输出高报数据是空的变量。	select * from t_rt_info where t_rt_info.Upper_limit is null order by t_rt_info.Unit_code ;
显示高、低、高高、低低报警阈值都与V701产3.5MPa饱和蒸汽流量一样的关键变量名称。	select * from t_rt_info where t_rt_info.Upper_limit = ( select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FR281_2.PV' ) and t_rt_info.Lower_limit = ( select t_rt_info.Lower_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FR281_2.PV' ) and t_rt_info.UUpper_limit = ( select t_rt_info.UUpper_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FR281_2.PV' ) and t_rt_info.LLower_limit = ( select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FR281_2.PV' ) ;
显示高、低、高高、低低报警阈值都与汽提段密度一样的关键变量名称。	select * from t_rt_info where t_rt_info.Upper_limit = ( select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_DR102.PV' ) and t_rt_info.Lower_limit = ( select t_rt_info.Lower_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_DR102.PV' ) and t_rt_info.UUpper_limit = ( select t_rt_info.UUpper_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_DR102.PV' ) and t_rt_info.LLower_limit = ( select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_DR102.PV' ) ;
查询变量定义表中高报、低报、高高报、低低报与再生循环气流量的信息全部相同的关键变量。	select * from t_rt_info where t_rt_info.Upper_limit = ( select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FIC_30602' ) and t_rt_info.Lower_limit = ( select t_rt_info.Lower_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FIC_30602' ) and t_rt_info.UUpper_limit = ( select t_rt_info.UUpper_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FIC_30602' ) and t_rt_info.LLower_limit = ( select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FIC_30602' ) ;
查询变量定义表中高报、低报、高高报、低低报与吸收塔二中回流温度的信息全部相同的关键变量。	select * from t_rt_info where t_rt_info.Upper_limit = ( select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_TI413.PV' ) and t_rt_info.Lower_limit = ( select t_rt_info.Lower_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_TI413.PV' ) and t_rt_info.UUpper_limit = ( select t_rt_info.UUpper_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_TI413.PV' ) and t_rt_info.LLower_limit = ( select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_TI413.PV' ) ;
E102管程出口温度代表什么？	select t_rt_info.Tag_desc from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_10802' ;
至V701除氧水流量代表什么？	select t_rt_info.Tag_desc from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FC280_2.PV' ;
吸收塔补充吸收剂流量调节这个变量是什么意思？	select t_rt_info.Tag_desc from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_FIC403.PV' ;
C101出口压力这个变量是什么意思？	select t_rt_info.Tag_desc from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211PI_10401' ;
告诉我所有变量的描述信息。	select t_rt_info.Tag_desc from t_rt_info ;
查询测点定义表中变量的含义信息。	select t_rt_info.Tag_desc from t_rt_info ;
有没有哪个位号对应的描述是空的？	select count ( * ) = 0 from t_rt_info where t_rt_info.Tag_desc is null ;
数据库里的变量都有相应的描述了吗？	select count ( * ) = 0 from t_rt_info where t_rt_info.Tag_desc is null ;
返回装置2#重整装置中描述最短的位号。	select t_rt_info.Tag_code from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' order by length ( t_rt_info.Tag_desc ) asc limit 1 ;
返回装置连续重整装置中描述最短的位号。	select t_rt_info.Tag_code from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' order by length ( t_rt_info.Tag_desc ) asc limit 1 ;
2#催化装置中哪个变量的描述信息最短？	select t_rt_info.Tag_code from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' order by length ( t_rt_info.Tag_desc ) asc limit 1 ;
连续重整二中哪个变量的描述信息最短？	select t_rt_info.Tag_code from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' order by length ( t_rt_info.Tag_desc ) asc limit 1 ;
计算关键变量的位号描述长度的均值。	select avg ( length ( t_rt_info.Tag_desc )  ) from t_rt_info where t_rt_info.Key_tag = 1 ;
告诉我关键变量描述长度均值。	select avg ( length ( t_rt_info.Tag_desc )  ) from t_rt_info where t_rt_info.Key_tag = 1 ;
有没有关键报警变量缺失相应的描述的？	select count ( * ) != 0 from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Tag_desc is null ;
哪些关键位号没有描述？	select count ( * ) != 0 from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Tag_desc is null ;
看一下所有没有高报警限的位号的编号以及含义。	select t_rt_info.Tag_code , t_rt_info.Tag_desc from t_rt_info where t_rt_info.Upper_limit is null ;
返回没有高报阈值的变量的名字以及描述信息。	select t_rt_info.Tag_code , t_rt_info.Tag_desc from t_rt_info where t_rt_info.Upper_limit is null ;
位号描述长度不超过2个字符的位号有哪些。	select * from t_rt_info where length ( t_rt_info.Tag_desc ) <= 2 ;
位号描述长度不超过1个字符的位号有哪些。	select * from t_rt_info where length ( t_rt_info.Tag_desc ) <= 1 ;
哪些变量的描述长度短于9个字符？	select * from t_rt_info where length ( t_rt_info.Tag_desc ) <= 9 ;
哪些变量的描述长度短于2个字符？	select * from t_rt_info where length ( t_rt_info.Tag_desc ) <= 2 ;
统计测点定义表中位号含义缺失的项目的数量。	select count ( * ) from t_rt_info where t_rt_info.Tag_desc is null ;
一共有多少个变量没有相应的描述？	select count ( * ) from t_rt_info where t_rt_info.Tag_desc is null ;
所有数据里，变量描述最长的5个变量分别属于哪套装置？	select t_rt_info.Unit_code from t_rt_info order by length ( t_rt_info.Tag_desc ) desc limit 5 ;
所有数据里，变量描述最长的200个变量分别属于哪套装置？	select t_rt_info.Unit_code from t_rt_info order by length ( t_rt_info.Tag_desc ) desc limit 200 ;
告诉我描述信息长度最长的4个位点分别来源于哪个装置。	select t_rt_info.Unit_code from t_rt_info order by length ( t_rt_info.Tag_desc ) desc limit 4 ;
告诉我描述信息长度最长的9个位点分别来源于哪个装置。	select t_rt_info.Unit_code from t_rt_info order by length ( t_rt_info.Tag_desc ) desc limit 9 ;
有哪些变量的单位是功率？	select * from t_rt_info where t_rt_info.Tag_unit = 'power' ;
有哪些变量的单位是密度？	select * from t_rt_info where t_rt_info.Tag_unit = 'density' ;
单位为流量的位号有哪些？	select * from t_rt_info where t_rt_info.Tag_unit = 'flow' ;
单位为温度的位号有哪些？	select * from t_rt_info where t_rt_info.Tag_unit = 'temperature' ;
有哪些变量的单位不是压力？	select * from t_rt_info where t_rt_info.Tag_unit != 'pressure' ;
有哪些变量的单位不是流量？	select * from t_rt_info where t_rt_info.Tag_unit != 'flow' ;
统计单位不是转速的所有位号。	select * from t_rt_info where t_rt_info.Tag_unit != 'spee' ;
统计单位不是摩尔比的所有位号。	select * from t_rt_info where t_rt_info.Tag_unit != 'ratio' ;
有多少变量的单位是压力？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = 'pressure' ;
有多少变量的单位是液位？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = 'level' ;
计算以液位作为单位的变量总数。	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = 'level' ;
计算以压力作为单位的变量总数。	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = 'pressure' ;
与变量E307A、B出口温度指示共享装置和单位的变量有哪些？	select * from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TI320.PV' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TI320.PV' ) ;
与变量T201底油浆抽出温度共享装置和单位的变量有哪些？	select * from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TI284_1.PV' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TI284_1.PV' ) ;
从测点定义表中筛选和汽提段密度的装置与单位都相同的位号。	select * from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_DR102.PV' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_DR102.PV' ) ;
从测点定义表中筛选和V321与R204压差的装置与单位都相同的位号。	select * from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211PDIC_30401' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211PDIC_30401' ) ;
在V206顶气流量这个变量的同一个装置里，有几个变量的单位和V206顶气流量一样？	select count ( * ) from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FI_21603' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FI_21603' ) ;
在R102入口压力这个变量的同一个装置里，有几个变量的单位和R102入口压力一样？	select count ( * ) from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211PI_10302' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211PI_10302' ) ;
有多少位点和石脑油出温度有相同的装置信息和单位？	select count ( * ) from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_21711' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_21711' ) ;
有多少位点和T101进料量有相同的装置信息和单位？	select count ( * ) from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FI_10503' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FI_10503' ) ;
告诉我有哪些变量的数据描述缺失。	select * from t_rt_info where t_rt_info.Tag_desc is null ;
哪些位号的描述一栏为空？	select * from t_rt_info where t_rt_info.Tag_desc is null ;
有哪些不同的单位？	select distinct t_rt_info.Tag_unit from t_rt_info ;
统计有哪几个不同的单位。	select distinct t_rt_info.Tag_unit from t_rt_info ;
统计装置重整装置中每个单位出现的次数。	select count ( * ) from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' group by t_rt_info.Tag_unit ;
统计装置2#连续重整装置中每个单位出现的次数。	select count ( * ) from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' group by t_rt_info.Tag_unit ;
计算每种单位在催化裂化装置二中出现的次数。	select count ( * ) from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' group by t_rt_info.Tag_unit ;
计算每种单位在连续重整装置二号中出现的次数。	select count ( * ) from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' group by t_rt_info.Tag_unit ;
哪几个关键报警的单位和热蜡油进装置流量一样？	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FI222_2.PV' ) ;
哪几个关键报警的单位和反应沉降器活斗密度一样？	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_DR1104.PV' ) ;
筛选位号单位与烧焦罐藏量的单位相同的关键变量。	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_WI223.PV' ) ;
筛选位号单位与T101液位的单位相同的关键变量。	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211LIC_10901' ) ;
所有装置里，单位与F201氧含量相同的变量各有多少个？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211AI_21901' ) group by t_rt_info.Unit_code ;
所有装置里，单位与溢流斗流化蒸汽流量相同的变量各有多少个？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FI1107.PV' ) group by t_rt_info.Unit_code ;
单位和再生器压力的单位一样的测点在每个装置中分别有多少个？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_PCA101A.PV' ) group by t_rt_info.Unit_code ;
单位和R202出口温度的单位一样的测点在每个装置中分别有多少个？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_20202' ) group by t_rt_info.Unit_code ;
装置催化裂化装置2中的关键报警变量有哪些变量的单位和T201顶温度相同？	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TC201.PV' ) ;
装置重整装置二号中的关键报警变量有哪些变量的单位和分馏塔底搅拌蒸汽流量调节相同？	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_FIC373.PV' ) ;
装置二号连续重整中的关键报警变量有哪些变量的单位和V103液位相同？	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211LIC_10502' ) ;
装置1#催化装置中的关键报警变量有哪些变量的单位和容304液位控制选择开关相同？	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_LI2811.PV' ) ;
一催中哪些变量是关键报警并且具有和E201入口温度相同的单位？	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_20304' ) ;
连续重整装置二中哪些变量是关键报警并且具有和V304温度相同的单位？	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_30801' ) ;
催化裂化装置二中哪些变量是关键报警并且具有和T102液位相同的单位？	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211LIC_11101' ) ;
催化裂化装置二号中哪些变量是关键报警并且具有和省煤器出口除氧水温度相同的单位？	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TI708.PV' ) ;
