请告诉我最近49分钟的所有实时数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 49 ' ) ;
哪些变量既有高报警限又有低报警限？	select * from t_rt_info where t_rt_info.Upper_limit is not null and t_rt_info.Lower_limit is not null ;
有哪些变量有低报却没有低低报阈值？	select * from t_rt_info where t_rt_info.Lower_limit is not null and t_rt_info.LLower_limit is null ;
有多少变量是有高报阈值但没有高高报阈值的？	select count ( * ) from t_rt_info where t_rt_info.Lower_limit is not null and t_rt_info.LLower_limit is null ;
哪些变量高低报警限都没有？	select * from t_rt_info where t_rt_info.Upper_limit is null and t_rt_info.Lower_limit is null ;
对有高报的位号，返回给我它们的高报阈值。	select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Upper_limit is not null ;
将装置催化裂化2中的位号按有无低报警限分开列举。	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' order by isnull ( t_rt_info.Lower_limit ) ;
对于每个装置，告诉我哪些变量是低低报、低报、高报、高高报阈值都有的。	select * from t_rt_info where t_rt_info.Upper_limit is null and t_rt_info.Lower_limit is null ;
哪个位号的低报和低低报的数值一样？	select * from t_rt_info where t_rt_info.Lower_limit = t_rt_info.LLower_limit ;
数据集里有哪些高报和高高报阈值都有而且是一样的变量？	select * from t_rt_info where t_rt_info.Upper_limit is not null and t_rt_info.UUpper_limit is not null and t_rt_info.Upper_limit = t_rt_info.UUpper_limit ;
将每个装置中的位号按高报警限降序排列。	select * from t_rt_info order by t_rt_info.Unit_code , t_rt_info.Upper_limit desc ;
把每个装置中的变量分别按他们的低低报警限阈值升序排列。	select * from t_rt_info order by t_rt_info.Unit_code , t_rt_info.LLower_limit asc ;
高报减去低报最大的前200个变量分别是什么？	select t_rt_info.Tag_code from t_rt_info order by ( t_rt_info.Upper_limit - t_rt_info.Lower_limit ) desc limit 200 ;
返回每个低低报警限小于6的变量。	select * from t_rt_info where t_rt_info.LLower_limit < 6 ;
输出所有在装置二号连续重整中的，高报大于低报的变量。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Upper_limit > t_rt_info.Lower_limit ;
输出所有高报超过7的变量。	select * from t_rt_info where t_rt_info.Upper_limit > 7 ;
哪些关键变量同时有高报和低报？	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Upper_limit is not null and t_rt_info.Lower_limit is not null ;
帮我看看哪几个关键报警位号只有低报，没有高报的。	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Lower_limit is not null and t_rt_info.Upper_limit is null ;
统计数据集中同时有低报警阈值、高报警阈值、低低报警阈值、高高报警阈值的位号的个数。	select * from t_rt_info where t_rt_info.Lower_limit is not null and t_rt_info.Upper_limit is not null and t_rt_info.LLower_limit is not null and t_rt_info.UUpper_limit is not null ;
把装置催化装置一中的关键变量按高报警阈值的降序排列。	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
把装置二号催化裂化里的报警位号按低报数值降序排列。	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' order by t_rt_info.Lower_limit desc ;
哪些非关键报警变量又有高报警限和低报警限？	select * from t_rt_info where t_rt_info.Key_tag != 1 and t_rt_info.Upper_limit is not null and t_rt_info.Lower_limit is not null ;
哪套装置里有吸收塔补充吸收剂流量调节这个变量？	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_FIC403.PV' ;
T202塔釜液位是不是关键报警变量？	select t_rt_info.Key_tag from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211LIC_21701' ;
催化裂化装置二的关键报警里有没有汽提段密度这个位号？	select count ( * ) != 0 from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_code = '3B2CHLH_0202B_DR102.PV' ;
再生循环气流量的高报是多少？	select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FIC_30602' ;
R202入口温度的低低报警限是多少？	select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_20104' ;
将所有位号的名字按名字的降序排列并输出。	select t_rt_info.Tag_code from t_rt_info order by t_rt_info.Tag_code desc ;
有哪些变量没有低低报警限、低报警限、高报警限、高高报警限，按他们的所属的装置归类排序。	select * from t_rt_info where t_rt_info.Lower_limit is null and t_rt_info.Upper_limit is null and t_rt_info.LLower_limit is null and t_rt_info.UUpper_limit is null order by t_rt_info.Unit_code ;
展示所有低报阈值小于1并且高报阈值大于2的关键报警。	select * from t_rt_info where t_rt_info.Lower_limit < 1 and t_rt_info.Upper_limit > 2 ;
按高报阈值降序给装置重整里的关键报警变量排序。	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 order by t_rt_info.Upper_limit desc ;
哪些位号的高报阈值大于5？	select * from t_rt_info where t_rt_info.Upper_limit > 5 ;
哪些关键报警变量没有低报警阈值？	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Lower_limit is null ;
输出装置1#催化裂化当中低报最低的4个位号。	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' order by t_rt_info.Lower_limit asc limit 4 ;
输出没有低低报信息的所有关键报警。	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.LLower_limit is null ;
显示所有没有低低报和高高报数据的变量。	select * from t_rt_info where t_rt_info.LLower_limit is null and t_rt_info.UUpper_limit is null ;
按装置名称统计高报数据缺失的位号。	select * from t_rt_info where t_rt_info.Upper_limit is null order by t_rt_info.Unit_code ;
筛选所有与回炼油返回T201流量拥有相同高报和低报阈值的变量名。	select * from t_rt_info where t_rt_info.Upper_limit = ( select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FC208.PV' ) and t_rt_info.Lower_limit = ( select t_rt_info.Lower_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FC208.PV' ) ;
显示高、低、高高、低低报警阈值都与V701产3.5MPa饱和蒸汽流量一样的关键变量名称。	select * from t_rt_info where t_rt_info.Upper_limit = ( select t_rt_info.Upper_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FR281_2.PV' ) and t_rt_info.Lower_limit = ( select t_rt_info.Lower_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FR281_2.PV' ) and t_rt_info.UUpper_limit = ( select t_rt_info.UUpper_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FR281_2.PV' ) and t_rt_info.LLower_limit = ( select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FR281_2.PV' ) ;
E102管程出口温度代表什么？	select t_rt_info.Tag_desc from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211TI_10802' ;
告诉我所有变量的描述信息。	select t_rt_info.Tag_desc from t_rt_info ;
装置二催里的变量都是什么意思，告诉我它们的位号和描述。	select t_rt_info.Tag_code , t_rt_info.Tag_desc from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' ;
显示所有关键变量的含义。	select t_rt_info.Tag_desc from t_rt_info where t_rt_info.Key_tag = 1 ;
有没有哪个位号对应的描述是空的？	select count ( * ) = 0 from t_rt_info where t_rt_info.Tag_desc is null ;
描述最长的变量属于哪个装置？	select t_rt_info.Unit_code from t_rt_info order by length ( t_rt_info.Tag_desc ) desc limit 1 ;
返回装置2#重整装置中描述最短的位号。	select t_rt_info.Tag_code from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' order by length ( t_rt_info.Tag_desc ) asc limit 1 ;
计算关键变量的位号描述长度的均值。	select avg ( length ( t_rt_info.Tag_desc )  ) from t_rt_info where t_rt_info.Key_tag = 1 ;
有没有关键报警变量缺失相应的描述的？	select count ( * ) != 0 from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Tag_desc is null ;
看一下所有没有高报警限的位号的编号以及含义。	select t_rt_info.Tag_code , t_rt_info.Tag_desc from t_rt_info where t_rt_info.Upper_limit is null ;
位号描述长度不超过2个字符的位号有哪些。	select * from t_rt_info where length ( t_rt_info.Tag_desc ) <= 2 ;
统计测点定义表中位号含义缺失的项目的数量。	select count ( * ) from t_rt_info where t_rt_info.Tag_desc is null ;
所有数据里，变量描述最长的5个变量分别属于哪套装置？	select t_rt_info.Unit_code from t_rt_info order by length ( t_rt_info.Tag_desc ) desc limit 5 ;
有哪些变量的单位是功率？	select * from t_rt_info where t_rt_info.Tag_unit = 'power' ;
有哪些变量的单位不是压力？	select * from t_rt_info where t_rt_info.Tag_unit != 'pressure' ;
有多少变量的单位是压力？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = 'pressure' ;
和二再密相温度控制变量具有相同单位的变量有几个？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_TIC224.PV' ) ;
与变量E307A、B出口温度指示共享装置和单位的变量有哪些？	select * from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TI320.PV' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TI320.PV' ) ;
在V206顶气流量这个变量的同一个装置里，有几个变量的单位和V206顶气流量一样？	select count ( * ) from t_rt_info where t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FI_21603' ) and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211FI_21603' ) ;
显示装置1#催化装置中的所有变量，按它们的单位分组。	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' order by t_rt_info.Tag_unit ;
告诉我有哪些变量的数据描述缺失。	select * from t_rt_info where t_rt_info.Tag_desc is null ;
有哪些不同的单位？	select distinct t_rt_info.Tag_unit from t_rt_info ;
多少变量的数据单位这一栏是空的？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit is null ;
在装置二号催化裂化装置中，单位为密度的变量中，有哪些是关键报警？	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = 'density' ;
展示所有不同的关键报警的单位。	select distinct t_rt_info.Tag_unit from t_rt_info where t_rt_info.Key_tag = 1 ;
统计装置重整装置中每个单位出现的次数。	select count ( * ) from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' group by t_rt_info.Tag_unit ;
哪几个关键报警的单位和热蜡油进装置流量一样？	select * from t_rt_info where t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_FI222_2.PV' ) ;
所有装置里，单位与F201氧含量相同的变量各有多少个？	select count ( * ) from t_rt_info where t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '2B2LXCZ_0211AI_21901' ) group by t_rt_info.Unit_code ;
装置催化裂化装置2中的关键报警变量有哪些变量的单位和T201顶温度相同？	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' and t_rt_info.Key_tag = 1 and t_rt_info.Tag_unit = ( select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Tag_code = '3B2CHLH_0202B_TC201.PV' ) ;
单位是摩尔比的变量的高高报最高是多少？	select max ( t_rt_info.UUpper_limit ) from t_rt_info where t_rt_info.Tag_unit = 'ratio' ;
单位是压力的变量的低低报最小是多少？	select min ( t_rt_info.LLower_limit ) from t_rt_info where t_rt_info.Tag_unit = 'pressure' ;
告诉我每个不同的单位对应变量的最小高报值。	select min ( t_rt_info.Upper_limit ) from t_rt_info group by t_rt_info.Tag_unit ;
告诉我所有不同的单位包含的变量的最大低报警线。	select max ( t_rt_info.Lower_limit ) from t_rt_info group by t_rt_info.Tag_unit ;
哪些以流量作为单位的位号有高报和低报？	select * from t_rt_info where t_rt_info.Tag_unit = 'flow' and t_rt_info.Upper_limit is not null and t_rt_info.Lower_limit is not null ;
所有数据里总共有多少种不同的单位？	select count ( distinct t_rt_info.Tag_unit ) from t_rt_info ;
按出现次数由多到少把所有不同的单位进行排序。	select t_rt_info.Tag_unit from t_rt_info group by t_rt_info.Tag_unit order by count ( * ) desc ;
按在关键变量中的出现次数，将变量的单位按降序排列。	select t_rt_info.Tag_unit from t_rt_info where t_rt_info.Key_tag = 1 group by t_rt_info.Tag_unit order by count ( * ) desc ;
告诉我所有关键变量的描述。	select t_rt_info.Tag_desc from t_rt_info where t_rt_info.Key_tag = 1 ;
显示所有的关键变量。	select * from t_rt_info where t_rt_info.Key_tag = 1 ;
将所有关键位号按它们的单位分组输出。	select * from t_rt_info where t_rt_info.Key_tag = 1 order by t_rt_info.Unit_code ;
告诉我最近120小时内发生过高报但没有发生过低报的位号，按照装置归类。	select t_rt_data.Tag_code from t_rt_data inner join t_rt_info on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 120 : 0 ' ) group by t_rt_data.Tag_code , t_rt_info.Unit_code having sum ( t_rt_data.Alarm_status = 1 ) != 0 and sum ( t_rt_data.Alarm_status = 2 ) != 0  order by t_rt_info.Unit_code ;
装置二号催化装置中最近3小时内有哪些数据发生低报？	select t_rt_data.Tag_code from t_rt_data inner join t_rt_info on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 3 : 0 ' ) and t_rt_info.Unit_code = '3B2CHLH' group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status = 1 ) != 0 ;
最近13分钟内装置连续重整装置二号中有哪些发生过高报的位号？ 	select t_rt_data.Tag_code from t_rt_data inner join t_rt_info on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 13 ' ) and t_rt_info.Unit_code = '2B2LXCZ' group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status = 2 ) != 0 ;
统计每个装置中分别有多少个位号在过去46分钟内发生了高报。	select count ( distinct t_rt_data.Tag_code ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 46 ' ) and t_rt_data.Alarm_status = 2 group by t_rt_info.Unit_code ;
从今天中午8点到现在，哪些变量发生了报警，按不同的装置分别告诉我？	select t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( curdate ( ) , ' 8 : 0 ' ) group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status != 0 ) != 0 order by t_rt_info.Unit_code ;
告诉我今天报警次数最多的6个变量和它们所属的装置。	select t_rt_data.Tag_code , t_rt_info.Unit_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where date ( t_rt_data.Result_time ) = curdate ( ) group by t_rt_data.Tag_code , t_rt_info.Unit_code order by sum ( t_rt_data.Alarm_status != 0 ) desc limit 6 ;
从上午2点到现在，装置连续重整二有报警记录多少次？	select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( curdate ( ) , ' 2 : 0 ' ) and t_rt_info.Unit_code = '2B2LXCZ' and t_rt_data.Alarm_status != 0 ;
装置催化装置2中最后一次有变量发生报警是什么时候？	select t_rt_data.Result_time from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B2CHLH' and t_rt_data.Alarm_status != 0 order by t_rt_data.Id desc limit 1 ;
昨天所有数据里均值最小的3个变量都来自哪些装置？	select t_rt_info.Unit_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) group by t_rt_data.Tag_code , t_rt_info.Unit_code order by avg ( t_rt_data.Result_value ) asc limit 3 ;
在装置连续重整中，按昨天发生报警的次数从多到少给变量排序。	select t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) and t_rt_info.Unit_code = '2B2LXCZ' group by t_rt_data.Tag_code order by sum ( t_rt_data.Alarm_status != 0 ) asc ;
在过去41分钟里，每个装置分别有多少个变量出现过报警？	select count ( distinct t_rt_data.Tag_code ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 41 ' ) and t_rt_data.Alarm_status != 0 group by t_rt_info.Unit_code ;
催化裂化装置1这个装置今天哪些变量出现过值为0的情况？	select distinct t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where date ( t_rt_data.Result_time ) = curdate ( ) and t_rt_info.Unit_code = '3B1CHLH' and t_rt_data.Result_value = 0 ;
装置2#催化装置里有哪些变量在最近13分钟有值小于等于0的情况？	select distinct t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 13 ' ) and t_rt_info.Unit_code = '3B2CHLH' and t_rt_data.Result_value <= 0 ;
过去72小时里，循环油浆返塔温度最小的时候，同一个装置的所有变量的值是多少？	select t_rt_data.Result_value from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time = ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 72 : 0 ' ) and t_rt_data.Tag_code = '3B1CHLH_TI375.PV' order by t_rt_data.Result_value asc limit 1 ) and t_rt_info.Unit_code = ( select t_rt_info.Unit_code from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_TI375.PV' ) ;
今天上午11点到现在，最大值减去最小值的结果最大的变量是哪个装置的？	select t_rt_info.Unit_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( curdate ( ) , ' 11 : 0 ' ) group by t_rt_data.Tag_code order by max ( t_rt_data.Result_value ) - min ( t_rt_data.Result_value ) desc limit 1 ;
返回给我装置连续重整中所有变量在过去3小时里各自的最大和最小值。	select max ( t_rt_data.Result_value ) , min ( t_rt_data.Result_value ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_data.Result_time > addtime ( now ( ) , ' - 3 : 0 ' ) group by t_rt_data.Tag_code ;
请告诉我装置1#催化裂化所有变量过去21分钟的均值。	select avg ( t_rt_data.Result_value ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 21 ' ) and t_rt_info.Unit_code = '3B1CHLH' group by t_rt_data.Tag_code ;
帮我查看装置2#连续重整装置里所有变量最近4分钟的数据记录。	select * from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 4 ' ) ;
今天总共有多少个装置采集到了数据？	select count ( distinct t_rt_info.Unit_code ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where date ( t_rt_data.Result_time ) = curdate ( ) ;
装置催化裂化装置二号今天采集到多少数据了？	select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B2CHLH' and date ( t_rt_data.Result_time ) = curdate ( ) ;
过去17分钟里装置一号催化有多少条数据？	select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B1CHLH' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 17 ' ) ;
前51分钟里装置连续重整装置哪些位点有记录到数据？	select distinct t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 51 ' ) ;
在装置催化裂化装置1里，今天采集到数据的变量有多少个？	select count ( distinct t_rt_data.Tag_code ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B1CHLH' and date ( t_rt_data.Result_time ) = curdate ( ) ;
从今天上午1点开始到现在，装置一催的数据是否比装置连续重整的数据多？	select ( select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B1CHLH' and t_rt_data.Result_time > addtime ( curdate ( ) , ' 1 : 0 ' )  ) > ( select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_data.Result_time > addtime ( curdate ( ) , ' 1 : 0 ' )  ) ;
前24小时里有装置催化裂化装置二号数据的时间点有多少个？	select count ( distinct t_rt_data.Result_time ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B2CHLH' and t_rt_data.Result_time > addtime ( now ( ) , ' - 24 : 0 ' ) ;
上1个小时里每个装置的不同数据时间点分别有多少个？	select count ( distinct t_rt_data.Result_time ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 1 : 0 ' ) group by t_rt_info.Unit_code ;
今天在测点定义表中所有的位点中，采集到数据的有哪些？	select t_rt_info.Tag_code from t_rt_info left join ( select * from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) as t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code group by t_rt_info.Tag_code having count ( * ) != 0 ;
在测点定义表中的变量，昨天有哪些没有采集到数据的位点？	select t_rt_info.Tag_code from t_rt_info left join ( select * from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) as t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code group by t_rt_info.Tag_code having count ( * ) = 0 ;
哪些变量在最近37分钟里超过了它们各自的高报阈值？	select distinct t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 37 ' ) and t_rt_data.Result_value > t_rt_info.Upper_limit ;
帮我调取今天所有超过了高高报警限的变量。	select distinct t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where date ( t_rt_data.Result_time ) = curdate ( ) and t_rt_data.Result_value > t_rt_info.UUpper_limit ;
查看过去1小时内低于各自低报限的位号和时间。	select t_rt_data.Tag_code , t_rt_data.Result_time from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 1 : 0 ' ) and t_rt_data.Result_value < t_rt_info.Lower_limit ;
查看T304顶出口气温度指示这个变量最近一次低于低低报警阈值或者高于高高报警阈值的时间。	select t_rt_data.Result_time from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Tag_code = '3B2CHLH_0202B_TI319.PV' and t_rt_data.Result_value < t_rt_info.LLower_limit or t_rt_data.Result_value > t_rt_info.UUpper_limit order by t_rt_data.Id desc limit 1 ;
F203炉出口温度在过去14分钟里，有多少个数据点是在高报阈值和低报阈值之间的？	select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_20105' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 14 ' ) and t_rt_data.Result_value between t_rt_info.Lower_limit and t_rt_info.Upper_limit ;
统计二反上部温度这个位点今天低于低报警限的次数。	select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Tag_code = '3B2CHLH_0202B_TI1104.PV' and date ( t_rt_data.Result_time ) = curdate ( ) and t_rt_data.Result_value < t_rt_info.Lower_limit ;
调取最近的2个数据点的高报警限和低报警限。	select t_rt_info.Upper_limit and t_rt_info.Lower_limit from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code order by t_rt_data.Id desc limit 2 ;
外取热器下部温度的上一个数据点是否低于低低报警限了？	select ( select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI243.PV' order by t_rt_data.Id desc limit 1 ) < ( select t_rt_info.LLower_limit from t_rt_info where t_rt_info.Tag_code = '3B1CHLH_TI243.PV' ) ;
过去9小时中所有变量有多少有过低于低报阈值的情况？	select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_data.Result_time > addtime ( now ( ) , ' - 9 : 0 ' ) and t_rt_data.Result_value < t_rt_info.Lower_limit ;
从今天上午7点起，哪些关键报警位号没有超过高高报警限也没有低于过低低报警限？	select t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Key_tag = 1 and t_rt_data.Result_time > addtime ( curdate ( ) , ' 7 : 0 ' ) group by t_rt_data.Tag_code having ( sum ( t_rt_data.Result_value < t_rt_info.Lower_limit or t_rt_data.Result_value > t_rt_info.Upper_limit ) = 0 ) ;
昨天发生过几起关键报警低于低阈值的情况？	select count ( * ) from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Key_tag = 1 and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) and t_rt_data.Result_value < t_rt_info.Lower_limit ;
最近46分钟，装置二催当中的变量有哪些有过高于高报限的时刻，按它们的位号排序。	select distinct t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B2CHLH' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 46 ' ) and t_rt_data.Result_value > t_rt_info.Upper_limit order by t_rt_data.Tag_code ;
将装置催化装置二号中的变量按低于低报警限的次数降序排序。	select t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B2CHLH' group by t_rt_data.Tag_code order by sum ( t_rt_data.Result_value < t_rt_info.Lower_limit ) desc ;
统计哪些变量在昨天没有出现过低于低报警限或者高于高报警限的情况。	select t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) group by t_rt_data.Tag_code having ( sum ( t_rt_data.Result_value < t_rt_info.Lower_limit or t_rt_data.Result_value > t_rt_info.Upper_limit ) = 0 ) ;
查询在装置催化装置二中，哪个变量在过去12小时有最多次超过了高高报警限。	select t_rt_data.Tag_code from t_rt_info inner join t_rt_data on t_rt_info.Tag_code = t_rt_data.Tag_code where t_rt_info.Unit_code = '3B2CHLH' group by t_rt_data.Tag_code order by sum ( t_rt_data.Result_time > addtime ( now ( ) , ' - 12 : 0 ' )  ) desc limit 1 ;
